Number,Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Generation,Sprite,Shiny
129,Magikarp,,Water,,20,10,55,15,20,80,1,poke_icon_0129_000_md_n_00000000_f_n.png,poke_icon_sh_0129_000_md_n_00000000_f_n.png
130,Gyarados,,Water,Flying,95,125,79,60,100,81,1,poke_icon_0130_000_md_n_00000000_f_n.png,poke_icon_sh_0130_000_md_n_00000000_f_n.png
131,Lapras,,Water,Ice,130,85,80,85,95,60,1,poke_icon_0131_000_mf_n_00000000_f_n.png,poke_icon_sh_0131_000_mf_n_00000000_f_n.png
132,Ditto,,Normal,,48,48,48,48,48,48,1,poke_icon_0132_000_uk_n_00000000_f_n.png,poke_icon_sh_0132_000_uk_n_00000000_f_n.png
133,Eevee,,Normal,,55,55,50,45,65,55,1,poke_icon_0133_000_md_n_00000000_f_n.png,poke_icon_sh_0133_000_md_n_00000000_f_n.png
134,Vaporeon,,Water,,130,65,60,110,95,65,1,poke_icon_0134_000_mf_n_00000000_f_n.png,poke_icon_sh_0134_000_mf_n_00000000_f_n.png
135,Jolteon,,Electric,,65,65,60,110,95,130,1,poke_icon_0135_000_mf_n_00000000_f_n.png,poke_icon_sh_0135_000_mf_n_00000000_f_n.png
136,Flareon,,Fire,,65,130,60,95,110,65,1,poke_icon_0136_000_mf_n_00000000_f_n.png,poke_icon_sh_0136_000_mf_n_00000000_f_n.png
137,Porygon,,Normal,,65,60,70,85,75,40,1,poke_icon_0137_000_uk_n_00000000_f_n.png,poke_icon_sh_0137_000_uk_n_00000000_f_n.png
138,Omanyte,,Rock,Water,35,40,100,90,55,35,1,poke_icon_0138_000_mf_n_00000000_f_n.png,poke_icon_sh_0138_000_mf_n_00000000_f_n.png
139,Omastar,,Rock,Water,70,60,125,115,70,55,1,poke_icon_0139_000_mf_n_00000000_f_n.png,poke_icon_sh_0139_000_mf_n_00000000_f_n.png
140,Kabuto,,Rock,Water,30,80,90,55,45,55,1,poke_icon_0140_000_mf_n_00000000_f_n.png,poke_icon_sh_0140_000_mf_n_00000000_f_n.png
141,Kabutops,,Rock,Water,60,115,105,65,70,80,1,poke_icon_0141_000_mf_n_00000000_f_n.png,poke_icon_sh_0141_000_mf_n_00000000_f_n.png
142,Aerodactyl,,Rock,Flying,80,105,65,60,75,130,1,poke_icon_0142_000_mf_n_00000000_f_n.png,poke_icon_sh_0142_000_mf_n_00000000_f_n.png
143,Snorlax,,Normal,,160,110,65,65,110,30,1,poke_icon_0143_000_mf_n_00000000_f_n.png,poke_icon_sh_0143_000_mf_n_00000000_f_n.png
144,Articuno,,Ice,Flying,90,85,100,95,125,85,1,poke_icon_0144_000_uk_n_00000000_f_n.png,poke_icon_sh_0144_000_uk_n_00000000_f_n.png
144,Articuno,Galarian Articuno,Psychic,Flying,90,85,85,125,100,95,8,poke_icon_0144_001_uk_n_00000000_f_n.png,poke_icon_sh_0144_001_uk_n_00000000_f_n.png
145,Zapdos,,Electric,Flying,90,90,85,125,90,100,1,poke_icon_0145_000_uk_n_00000000_f_n.png,poke_icon_sh_0145_000_uk_n_00000000_f_n.png
145,Zapdos,Galarian Zapdos,Fighting,Flying,90,125,90,85,90,100,8,poke_icon_0145_001_uk_n_00000000_f_n.png,poke_icon_sh_0145_001_uk_n_00000000_f_n.png
146,Moltres,,Fire,Flying,90,100,90,125,85,90,1,poke_icon_0146_000_uk_n_00000000_f_n.png,poke_icon_sh_0146_000_uk_n_00000000_f_n.png
146,Moltres,Galarian Moltres,Dark,Flying,90,85,90,100,125,90,8,poke_icon_0146_001_uk_n_00000000_f_n.png,poke_icon_sh_0146_001_uk_n_00000000_f_n.png
147,Dratini,,Dragon,,41,64,45,50,50,50,1,poke_icon_0147_000_mf_n_00000000_f_n.png,poke_icon_sh_0147_000_mf_n_00000000_f_n.png
148,Dragonair,,Dragon,,61,84,65,70,70,70,1,poke_icon_0148_000_mf_n_00000000_f_n.png,poke_icon_sh_0148_000_mf_n_00000000_f_n.png
149,Dragonite,,Dragon,Flying,91,134,95,100,100,80,1,poke_icon_0149_000_mf_n_00000000_f_n.png,poke_icon_sh_0149_000_mf_n_00000000_f_n.png
150,Mewtwo,,Psychic,,106,110,90,154,90,130,1,poke_icon_0150_000_uk_n_00000000_f_n.png,poke_icon_sh_0150_000_uk_n_00000000_f_n.png
151,Mew,,Psychic,,100,100,100,100,100,100,1,poke_icon_0151_000_uk_n_00000000_f_n.png,poke_icon_sh_0151_000_uk_n_00000000_f_n.png
152,Chikorita,,Grass,,45,49,65,49,65,45,2,poke_icon_0152_000_mf_n_00000000_f_n.png,poke_icon_sh_0152_000_mf_n_00000000_f_n.png
153,Bayleef,,Grass,,60,62,80,63,80,60,2,poke_icon_0153_000_mf_n_00000000_f_n.png,poke_icon_sh_0153_000_mf_n_00000000_f_n.png
154,Meganium,,Grass,,80,82,100,83,100,80,2,poke_icon_0154_000_md_n_00000000_f_n.png,poke_icon_sh_0154_000_md_n_00000000_f_n.png
155,Cyndaquil,,Fire,,39,52,43,60,50,65,2,poke_icon_0155_000_mf_n_00000000_f_n.png,poke_icon_sh_0155_000_mf_n_00000000_f_n.png
156,Quilava,,Fire,,58,64,58,80,65,80,2,poke_icon_0156_000_mf_n_00000000_f_n.png,poke_icon_sh_0156_000_mf_n_00000000_f_n.png
157,Typhlosion,,Fire,,78,84,78,109,85,100,2,poke_icon_0157_000_mf_n_00000000_f_n.png,poke_icon_sh_0157_000_mf_n_00000000_f_n.png
157,Typhlosion,Hisuian Typhlosion,Fire,Ghost,73,84,78,119,85,95,8,poke_icon_0157_001_mf_n_00000000_f_n.png,poke_icon_sh_0157_001_mf_n_00000000_f_n.png
158,Totodile,,Water,,50,65,64,44,48,43,2,poke_icon_0158_000_mf_n_00000000_f_n.png,poke_icon_sh_0158_000_mf_n_00000000_f_n.png
159,Croconaw,,Water,,65,80,80,59,63,58,2,poke_icon_0159_000_mf_n_00000000_f_n.png,poke_icon_sh_0159_000_mf_n_00000000_f_n.png
160,Feraligatr,,Water,,85,105,100,79,83,78,2,poke_icon_0160_000_mf_n_00000000_f_n.png,poke_icon_sh_0160_000_mf_n_00000000_f_n.png
161,Sentret,,Normal,,35,46,34,35,45,20,2,poke_icon_0161_000_mf_n_00000000_f_n.png,poke_icon_sh_0161_000_mf_n_00000000_f_n.png
162,Furret,,Normal,,85,76,64,45,55,90,2,poke_icon_0162_000_mf_n_00000000_f_n.png,poke_icon_sh_0162_000_mf_n_00000000_f_n.png
163,Hoothoot,,Normal,Flying,60,30,30,36,56,50,2,poke_icon_0163_000_mf_n_00000000_f_n.png,poke_icon_sh_0163_000_mf_n_00000000_f_n.png
164,Noctowl,,Normal,Flying,100,50,50,86,96,70,2,poke_icon_0164_000_mf_n_00000000_f_n.png,poke_icon_sh_0164_000_mf_n_00000000_f_n.png
165,Ledyba,,Bug,Flying,40,20,30,40,80,55,2,poke_icon_0165_000_md_n_00000000_f_n.png,poke_icon_sh_0165_000_md_n_00000000_f_n.png
166,Ledian,,Bug,Flying,55,35,50,55,110,85,2,poke_icon_0166_000_md_n_00000000_f_n.png,poke_icon_sh_0166_000_md_n_00000000_f_n.png
167,Spinarak,,Bug,Poison,40,60,40,40,40,30,2,poke_icon_0167_000_mf_n_00000000_f_n.png,poke_icon_sh_0167_000_mf_n_00000000_f_n.png
168,Ariados,,Bug,Poison,70,90,70,60,70,40,2,poke_icon_0168_000_mf_n_00000000_f_n.png,poke_icon_sh_0168_000_mf_n_00000000_f_n.png
169,Crobat,,Poison,Flying,85,90,80,70,80,130,2,poke_icon_0169_000_mf_n_00000000_f_n.png,poke_icon_sh_0169_000_mf_n_00000000_f_n.png
170,Chinchou,,Water,Electric,75,38,38,56,56,67,2,poke_icon_0170_000_mf_n_00000000_f_n.png,poke_icon_sh_0170_000_mf_n_00000000_f_n.png
171,Lanturn,,Water,Electric,125,58,58,76,76,67,2,poke_icon_0171_000_mf_n_00000000_f_n.png,poke_icon_sh_0171_000_mf_n_00000000_f_n.png
172,Pichu,,Electric,,20,40,15,35,35,60,2,poke_icon_0172_000_mf_n_00000000_f_n.png,poke_icon_sh_0172_000_mf_n_00000000_f_n.png
173,Cleffa,,Fairy,,50,25,28,45,55,15,2,poke_icon_0173_000_mf_n_00000000_f_n.png,poke_icon_sh_0173_000_mf_n_00000000_f_n.png
174,Igglybuff,,Normal,Fairy,90,30,15,40,20,15,2,poke_icon_0174_000_mf_n_00000000_f_n.png,poke_icon_sh_0174_000_mf_n_00000000_f_n.png
175,Togepi,,Fairy,,35,20,65,40,65,20,2,poke_icon_0175_000_mf_n_00000000_f_n.png,poke_icon_sh_0175_000_mf_n_00000000_f_n.png
176,Togetic,,Fairy,Flying,55,40,85,80,105,40,2,poke_icon_0176_000_mf_n_00000000_f_n.png,poke_icon_sh_0176_000_mf_n_00000000_f_n.png
177,Natu,,Psychic,Flying,40,50,45,70,45,70,2,poke_icon_0177_000_mf_n_00000000_f_n.png,poke_icon_sh_0177_000_mf_n_00000000_f_n.png
178,Xatu,,Psychic,Flying,65,75,70,95,70,95,2,poke_icon_0178_000_md_n_00000000_f_n.png,poke_icon_sh_0178_000_md_n_00000000_f_n.png
179,Mareep,,Electric,,55,40,40,65,45,35,2,poke_icon_0179_000_mf_n_00000000_f_n.png,poke_icon_sh_0179_000_mf_n_00000000_f_n.png
180,Flaaffy,,Electric,,70,55,55,80,60,45,2,poke_icon_0180_000_mf_n_00000000_f_n.png,poke_icon_sh_0180_000_mf_n_00000000_f_n.png
181,Ampharos,,Electric,,90,75,85,115,90,55,2,poke_icon_0181_000_mf_n_00000000_f_n.png,poke_icon_sh_0181_000_mf_n_00000000_f_n.png
182,Bellossom,,Grass,,75,80,95,90,100,50,2,poke_icon_0182_000_mf_n_00000000_f_n.png,poke_icon_sh_0182_000_mf_n_00000000_f_n.png
183,Marill,,Water,Fairy,70,20,50,20,50,40,2,poke_icon_0183_000_mf_n_00000000_f_n.png,poke_icon_sh_0183_000_mf_n_00000000_f_n.png
184,Azumarill,,Water,Fairy,100,50,80,60,80,50,2,poke_icon_0184_000_mf_n_00000000_f_n.png,poke_icon_sh_0184_000_mf_n_00000000_f_n.png
185,Sudowoodo,,Rock,,70,100,115,30,65,30,2,poke_icon_0185_000_md_n_00000000_f_n.png,poke_icon_sh_0185_000_md_n_00000000_f_n.png
186,Politoed,,Water,,90,75,75,90,100,70,2,poke_icon_0186_000_md_n_00000000_f_n.png,poke_icon_sh_0186_000_md_n_00000000_f_n.png
187,Hoppip,,Grass,Flying,35,35,40,35,55,50,2,poke_icon_0187_000_mf_n_00000000_f_n.png,poke_icon_sh_0187_000_mf_n_00000000_f_n.png
188,Skiploom,,Grass,Flying,55,45,50,45,65,80,2,poke_icon_0188_000_mf_n_00000000_f_n.png,poke_icon_sh_0188_000_mf_n_00000000_f_n.png
189,Jumpluff,,Grass,Flying,75,55,70,55,95,110,2,poke_icon_0189_000_mf_n_00000000_f_n.png,poke_icon_sh_0189_000_mf_n_00000000_f_n.png
190,Aipom,,Normal,,55,70,55,40,55,85,2,poke_icon_0190_000_md_n_00000000_f_n.png,poke_icon_sh_0190_000_md_n_00000000_f_n.png
191,Sunkern,,Grass,,30,30,30,30,30,30,2,poke_icon_0191_000_mf_n_00000000_f_n.png,poke_icon_sh_0191_000_mf_n_00000000_f_n.png
192,Sunflora,,Grass,,75,75,55,105,85,30,2,poke_icon_0192_000_mf_n_00000000_f_n.png,poke_icon_sh_0192_000_mf_n_00000000_f_n.png
193,Yanma,,Bug,Flying,65,65,45,75,45,95,2,poke_icon_0193_000_mf_n_00000000_f_n.png,poke_icon_sh_0193_000_mf_n_00000000_f_n.png
194,Wooper,,Water,Ground,55,45,45,25,25,15,2,poke_icon_0194_000_md_n_00000000_f_n.png,poke_icon_sh_0194_000_md_n_00000000_f_n.png
194,Wooper,Paldean Wooper,Poison,Ground,55,45,45,25,25,15,9,poke_icon_0194_001_mf_n_00000000_f_n.png,poke_icon_sh_0194_001_mf_n_00000000_f_n.png
195,Quagsire,,Water,Ground,95,85,85,65,65,35,2,poke_icon_0195_000_md_n_00000000_f_n.png,poke_icon_sh_0195_000_md_n_00000000_f_n.png
196,Espeon,,Psychic,,65,65,60,130,95,110,2,poke_icon_0196_000_mf_n_00000000_f_n.png,poke_icon_sh_0196_000_mf_n_00000000_f_n.png
197,Umbreon,,Dark,,95,65,110,60,130,65,2,poke_icon_0197_000_mf_n_00000000_f_n.png,poke_icon_sh_0197_000_mf_n_00000000_f_n.png
198,Murkrow,,Dark,Flying,60,85,42,85,42,91,2,poke_icon_0198_000_md_n_00000000_f_n.png,poke_icon_sh_0198_000_md_n_00000000_f_n.png
199,Slowking,,Water,Psychic,95,75,80,100,110,30,2,poke_icon_0199_000_mf_n_00000000_f_n.png,poke_icon_sh_0199_000_mf_n_00000000_f_n.png
199,Slowking,Galarian Slowking,Poison,Psychic,95,65,80,110,110,30,8,poke_icon_0199_001_mf_n_00000000_f_n.png,poke_icon_sh_0199_001_mf_n_00000000_f_n.png
200,Misdreavus,,Ghost,,60,60,60,85,85,85,2,poke_icon_0200_000_mf_n_00000000_f_n.png,poke_icon_sh_0200_000_mf_n_00000000_f_n.png
201,Unown,,Psychic,,48,72,48,72,48,48,2,poke_icon_0201_000_uk_n_00000000_f_n.png,poke_icon_sh_0201_000_uk_n_00000000_f_n.png
202,Wobbuffet,,Psychic,,190,33,58,33,58,33,2,poke_icon_0202_000_md_n_00000000_f_n.png,poke_icon_sh_0202_000_md_n_00000000_f_n.png
203,Girafarig,,Normal,Psychic,70,80,65,90,65,85,2,poke_icon_0203_000_md_n_00000000_f_n.png,poke_icon_sh_0203_000_md_n_00000000_f_n.png
204,Pineco,,Bug,,50,65,90,35,35,15,2,poke_icon_0204_000_mf_n_00000000_f_n.png,poke_icon_sh_0204_000_mf_n_00000000_f_n.png
205,Forretress,,Bug,Steel,75,90,140,60,60,40,2,poke_icon_0205_000_mf_n_00000000_f_n.png,poke_icon_sh_0205_000_mf_n_00000000_f_n.png
206,Dunsparce,,Normal,,100,70,70,65,65,45,2,poke_icon_0206_000_mf_n_00000000_f_n.png,poke_icon_sh_0206_000_mf_n_00000000_f_n.png
207,Gligar,,Ground,Flying,65,75,105,35,65,85,2,poke_icon_0207_000_md_n_00000000_f_n.png,poke_icon_sh_0207_000_md_n_00000000_f_n.png
208,Steelix,,Steel,Ground,75,85,200,55,65,30,2,poke_icon_0208_000_md_n_00000000_f_n.png,poke_icon_sh_0208_000_md_n_00000000_f_n.png
209,Snubbull,,Fairy,,60,80,50,40,40,30,2,poke_icon_0209_000_mf_n_00000000_f_n.png,poke_icon_sh_0209_000_mf_n_00000000_f_n.png
210,Granbull,,Fairy,,90,120,75,60,60,45,2,poke_icon_0210_000_mf_n_00000000_f_n.png,poke_icon_sh_0210_000_mf_n_00000000_f_n.png
211,Qwilfish,,Water,Poison,65,95,85,55,55,85,2,poke_icon_0211_000_mf_n_00000000_f_n.png,poke_icon_sh_0211_000_mf_n_00000000_f_n.png
211,Qwilfish,Hisuian Qwilfish,Dark,Poison,65,95,85,55,55,85,8,poke_icon_0211_001_mf_n_00000000_f_n.png,poke_icon_sh_0211_001_mf_n_00000000_f_n.png
212,Scizor,,Bug,Steel,70,130,100,55,80,65,2,poke_icon_0212_000_md_n_00000000_f_n.png,poke_icon_sh_0212_000_md_n_00000000_f_n.png
213,Shuckle,,Bug,Rock,20,10,230,10,230,5,2,poke_icon_0213_000_mf_n_00000000_f_n.png,poke_icon_sh_0213_000_mf_n_00000000_f_n.png
214,Heracross,,Bug,Fighting,80,125,75,40,95,85,2,poke_icon_0214_000_md_n_00000000_f_n.png,poke_icon_sh_0214_000_md_n_00000000_f_n.png
215,Sneasel,,Dark,Ice,55,95,55,35,75,115,2,poke_icon_0215_000_md_n_00000000_f_n.png,poke_icon_sh_0215_000_md_n_00000000_f_n.png
215,Sneasel,Hisuian Sneasel,Fighting,Poison,55,95,55,35,75,115,8,poke_icon_0215_001_md_n_00000000_f_n.png,poke_icon_sh_0215_001_md_n_00000000_f_n.png
216,Teddiursa,,Normal,,60,80,50,50,50,40,2,poke_icon_0216_000_mf_n_00000000_f_n.png,poke_icon_sh_0216_000_mf_n_00000000_f_n.png
217,Ursaring,,Normal,,90,130,75,75,75,55,2,poke_icon_0217_000_md_n_00000000_f_n.png,poke_icon_sh_0217_000_md_n_00000000_f_n.png
218,Slugma,,Fire,,40,40,40,70,40,20,2,poke_icon_0218_000_mf_n_00000000_f_n.png,poke_icon_sh_0218_000_mf_n_00000000_f_n.png
219,Magcargo,,Fire,Rock,60,50,120,90,80,30,2,poke_icon_0219_000_mf_n_00000000_f_n.png,poke_icon_sh_0219_000_mf_n_00000000_f_n.png
220,Swinub,,Ice,Ground,50,50,40,30,30,50,2,poke_icon_0220_000_mf_n_00000000_f_n.png,poke_icon_sh_0220_000_mf_n_00000000_f_n.png
221,Piloswine,,Ice,Ground,100,100,80,60,60,50,2,poke_icon_0221_000_md_n_00000000_f_n.png,poke_icon_sh_0221_000_md_n_00000000_f_n.png
222,Corsola,,Water,Rock,65,55,95,65,95,35,2,poke_icon_0222_000_mf_n_00000000_f_n.png,poke_icon_sh_0222_000_mf_n_00000000_f_n.png
222,Corsola,Galarian Corsola,Ghost,,60,55,100,65,100,30,8,poke_icon_0222_001_mf_n_00000000_f_n.png,poke_icon_sh_0222_001_mf_n_00000000_f_n.png
223,Remoraid,,Water,,35,65,35,65,35,65,2,poke_icon_0223_000_mf_n_00000000_f_n.png,poke_icon_sh_0223_000_mf_n_00000000_f_n.png
224,Octillery,,Water,,75,105,75,105,75,45,2,poke_icon_0224_000_md_n_00000000_f_n.png,poke_icon_sh_0224_000_md_n_00000000_f_n.png
225,Delibird,,Ice,Flying,45,55,45,65,45,75,2,poke_icon_0225_000_mf_n_00000000_f_n.png,poke_icon_sh_0225_000_mf_n_00000000_f_n.png
226,Mantine,,Water,Flying,85,40,70,80,140,70,2,poke_icon_0226_000_mf_n_00000000_f_n.png,poke_icon_sh_0226_000_mf_n_00000000_f_n.png
227,Skarmory,,Steel,Flying,65,80,140,40,70,70,2,poke_icon_0227_000_mf_n_00000000_f_n.png,poke_icon_sh_0227_000_mf_n_00000000_f_n.png
228,Houndour,,Dark,Fire,45,60,30,80,50,65,2,poke_icon_0228_000_mf_n_00000000_f_n.png,poke_icon_sh_0228_000_mf_n_00000000_f_n.png
229,Houndoom,,Dark,Fire,75,90,50,110,80,95,2,poke_icon_0229_000_md_n_00000000_f_n.png,poke_icon_sh_0229_000_md_n_00000000_f_n.png
230,Kingdra,,Water,Dragon,75,95,95,95,95,85,2,poke_icon_0230_000_mf_n_00000000_f_n.png,poke_icon_sh_0230_000_mf_n_00000000_f_n.png
231,Phanpy,,Ground,,90,60,60,40,40,40,2,poke_icon_0231_000_mf_n_00000000_f_n.png,poke_icon_sh_0231_000_mf_n_00000000_f_n.png
232,Donphan,,Ground,,90,120,120,60,60,50,2,poke_icon_0232_000_md_n_00000000_f_n.png,poke_icon_sh_0232_000_md_n_00000000_f_n.png
233,Porygon2,,Normal,,85,80,90,105,95,60,2,poke_icon_0233_000_uk_n_00000000_f_n.png,poke_icon_sh_0233_000_uk_n_00000000_f_n.png
234,Stantler,,Normal,,73,95,62,85,65,85,2,poke_icon_0234_000_mf_n_00000000_f_n.png,poke_icon_sh_0234_000_mf_n_00000000_f_n.png
235,Smeargle,,Normal,,55,20,35,20,45,75,2,poke_icon_0235_000_mf_n_00000000_f_n.png,poke_icon_sh_0235_000_mf_n_00000000_f_n.png
236,Tyrogue,,Fighting,,35,35,35,35,35,35,2,poke_icon_0236_000_mo_n_00000000_f_n.png,poke_icon_sh_0236_000_mo_n_00000000_f_n.png
237,Hitmontop,,Fighting,,50,95,95,35,110,70,2,poke_icon_0237_000_mo_n_00000000_f_n.png,poke_icon_sh_0237_000_mo_n_00000000_f_n.png
238,Smoochum,,Ice,Psychic,45,30,15,85,65,65,2,poke_icon_0238_000_fo_n_00000000_f_n.png,poke_icon_sh_0238_000_fo_n_00000000_f_n.png
239,Elekid,,Electric,,45,63,37,65,55,95,2,poke_icon_0239_000_mf_n_00000000_f_n.png,poke_icon_sh_0239_000_mf_n_00000000_f_n.png
240,Magby,,Fire,,45,75,37,70,55,83,2,poke_icon_0240_000_mf_n_00000000_f_n.png,poke_icon_sh_0240_000_mf_n_00000000_f_n.png
241,Miltank,,Normal,,95,80,105,40,70,100,2,poke_icon_0241_000_fo_n_00000000_f_n.png,poke_icon_sh_0241_000_fo_n_00000000_f_n.png
242,Blissey,,Normal,,255,10,10,75,135,55,2,poke_icon_0242_000_fo_n_00000000_f_n.png,poke_icon_sh_0242_000_fo_n_00000000_f_n.png
243,Raikou,,Electric,,90,85,75,115,100,115,2,poke_icon_0243_000_uk_n_00000000_f_n.png,poke_icon_sh_0243_000_uk_n_00000000_f_n.png
244,Entei,,Fire,,115,115,85,90,75,100,2,poke_icon_0244_000_uk_n_00000000_f_n.png,poke_icon_sh_0244_000_uk_n_00000000_f_n.png
245,Suicune,,Water,,100,75,115,90,115,85,2,poke_icon_0245_000_uk_n_00000000_f_n.png,poke_icon_sh_0245_000_uk_n_00000000_f_n.png
246,Larvitar,,Rock,Ground,50,64,50,45,50,41,2,poke_icon_0246_000_mf_n_00000000_f_n.png,poke_icon_sh_0246_000_mf_n_00000000_f_n.png
247,Pupitar,,Rock,Ground,70,84,70,65,70,51,2,poke_icon_0247_000_mf_n_00000000_f_n.png,poke_icon_sh_0247_000_mf_n_00000000_f_n.png
248,Tyranitar,,Rock,Dark,100,134,110,95,100,61,2,poke_icon_0248_000_mf_n_00000000_f_n.png,poke_icon_sh_0248_000_mf_n_00000000_f_n.png
249,Lugia,,Psychic,Flying,106,90,130,90,154,110,2,poke_icon_0249_000_uk_n_00000000_f_n.png,poke_icon_sh_0249_000_uk_n_00000000_f_n.png
250,Ho-oh,,Fire,Flying,106,130,90,110,154,90,2,poke_icon_0250_000_uk_n_00000000_f_n.png,poke_icon_sh_0250_000_uk_n_00000000_f_n.png
251,Celebi,,Psychic,Grass,100,100,100,100,100,100,2,poke_icon_0251_000_uk_n_00000000_f_n.png,poke_icon_sh_0251_000_uk_n_00000000_f_n.png
252,Treecko,,Grass,,40,45,35,65,55,70,3,poke_icon_0252_000_mf_n_00000000_f_n.png,poke_icon_sh_0252_000_mf_n_00000000_f_n.png
253,Grovyle,,Grass,,50,65,45,85,65,95,3,poke_icon_0253_000_mf_n_00000000_f_n.png,poke_icon_sh_0253_000_mf_n_00000000_f_n.png
254,Sceptile,,Grass,,70,85,65,105,85,120,3,poke_icon_0254_000_mf_n_00000000_f_n.png,poke_icon_sh_0254_000_mf_n_00000000_f_n.png
255,Torchic,,Fire,,45,60,40,70,50,45,3,poke_icon_0255_000_md_n_00000000_f_n.png,poke_icon_sh_0255_000_md_n_00000000_f_n.png
256,Combusken,,Fire,Fighting,60,85,60,85,60,55,3,poke_icon_0256_000_md_n_00000000_f_n.png,poke_icon_sh_0256_000_md_n_00000000_f_n.png
257,Blaziken,,Fire,Fighting,80,120,70,110,70,80,3,poke_icon_0257_000_md_n_00000000_f_n.png,poke_icon_sh_0257_000_md_n_00000000_f_n.png
258,Mudkip,,Water,,50,70,50,50,50,40,3,poke_icon_0258_000_mf_n_00000000_f_n.png,poke_icon_sh_0258_000_mf_n_00000000_f_n.png
259,Marshtomp,,Water,Ground,70,85,70,60,70,50,3,poke_icon_0259_000_mf_n_00000000_f_n.png,poke_icon_sh_0259_000_mf_n_00000000_f_n.png
260,Swampert,,Water,Ground,100,110,90,85,90,60,3,poke_icon_0260_000_mf_n_00000000_f_n.png,poke_icon_sh_0260_000_mf_n_00000000_f_n.png
261,Poochyena,,Dark,,35,55,35,30,30,35,3,poke_icon_0261_000_mf_n_00000000_f_n.png,poke_icon_sh_0261_000_mf_n_00000000_f_n.png
262,Mightyena,,Dark,,70,90,70,60,60,70,3,poke_icon_0262_000_mf_n_00000000_f_n.png,poke_icon_sh_0262_000_mf_n_00000000_f_n.png
263,Zigzagoon,,Normal,,38,30,41,30,41,60,3,poke_icon_0263_000_mf_n_00000000_f_n.png,poke_icon_sh_0263_000_mf_n_00000000_f_n.png
263,Zigzagoon,Galarian Zigzagoon,Dark,Normal,38,30,41,30,41,60,8,poke_icon_0263_001_mf_n_00000000_f_n.png,poke_icon_sh_0263_001_mf_n_00000000_f_n.png
264,Linoone,,Normal,,78,70,61,50,61,100,3,poke_icon_0264_000_mf_n_00000000_f_n.png,poke_icon_sh_0264_000_mf_n_00000000_f_n.png
264,Linoone,Galarian Linoone,Dark,Normal,78,70,61,50,61,100,8,poke_icon_0264_001_mf_n_00000000_f_n.png,poke_icon_sh_0264_001_mf_n_00000000_f_n.png
265,Wurmple,,Bug,,45,45,35,20,30,20,3,poke_icon_0265_000_mf_n_00000000_f_n.png,poke_icon_sh_0265_000_mf_n_00000000_f_n.png
266,Silcoon,,Bug,,50,35,55,25,25,15,3,poke_icon_0266_000_mf_n_00000000_f_n.png,poke_icon_sh_0266_000_mf_n_00000000_f_n.png
267,Beautifly,,Bug,Flying,60,70,50,100,50,65,3,poke_icon_0267_000_md_n_00000000_f_n.png,poke_icon_sh_0267_000_md_n_00000000_f_n.png
268,Cascoon,,Bug,,50,35,55,25,25,15,3,poke_icon_0268_000_mf_n_00000000_f_n.png,poke_icon_sh_0268_000_mf_n_00000000_f_n.png
269,Dustox,,Bug,Poison,60,50,70,50,90,65,3,poke_icon_0269_000_md_n_00000000_f_n.png,poke_icon_sh_0269_000_md_n_00000000_f_n.png
270,Lotad,,Water,Grass,40,30,30,40,50,30,3,poke_icon_0270_000_mf_n_00000000_f_n.png,poke_icon_sh_0270_000_mf_n_00000000_f_n.png
271,Lombre,,Water,Grass,60,50,50,60,70,50,3,poke_icon_0271_000_mf_n_00000000_f_n.png,poke_icon_sh_0271_000_mf_n_00000000_f_n.png
272,Ludicolo,,Water,Grass,80,70,70,90,100,70,3,poke_icon_0272_000_md_n_00000000_f_n.png,poke_icon_sh_0272_000_md_n_00000000_f_n.png
273,Seedot,,Grass,,40,40,50,30,30,30,3,poke_icon_0273_000_mf_n_00000000_f_n.png,poke_icon_sh_0273_000_mf_n_00000000_f_n.png
274,Nuzleaf,,Grass,Dark,70,70,40,60,40,60,3,poke_icon_0274_000_md_n_00000000_f_n.png,poke_icon_sh_0274_000_md_n_00000000_f_n.png
275,Shiftry,,Grass,Dark,90,100,60,90,60,80,3,poke_icon_0275_000_md_n_00000000_f_n.png,poke_icon_sh_0275_000_md_n_00000000_f_n.png
276,Taillow,,Normal,Flying,40,55,30,30,30,85,3,poke_icon_0276_000_mf_n_00000000_f_n.png,poke_icon_sh_0276_000_mf_n_00000000_f_n.png
277,Swellow,,Normal,Flying,60,85,60,75,50,125,3,poke_icon_0277_000_mf_n_00000000_f_n.png,poke_icon_sh_0277_000_mf_n_00000000_f_n.png
278,Wingull,,Water,Flying,40,30,30,55,30,85,3,poke_icon_0278_000_mf_n_00000000_f_n.png,poke_icon_sh_0278_000_mf_n_00000000_f_n.png
279,Pelipper,,Water,Flying,60,50,100,95,70,65,3,poke_icon_0279_000_mf_n_00000000_f_n.png,poke_icon_sh_0279_000_mf_n_00000000_f_n.png
280,Ralts,,Psychic,Fairy,28,25,25,45,35,40,3,poke_icon_0280_000_mf_n_00000000_f_n.png,poke_icon_sh_0280_000_mf_n_00000000_f_n.png
281,Kirlia,,Psychic,Fairy,38,35,35,65,55,50,3,poke_icon_0281_000_mf_n_00000000_f_n.png,poke_icon_sh_0281_000_mf_n_00000000_f_n.png
