,Unnamed: 0.1,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6858,72137,72137,7hntkdvG3jWdFKm7pGCCzd,Bring Me The Horizon,Sempiternal (Expanded Edition),The House of Wolves,63,205160,Explicit,0.425,0.98,8,-2.219,1,0.189,0.000104,1.46e-06,0.346,0.279,152.0,4,metalcore
6859,72142,72142,0ds5MDAFjVNd5E2HDKLjAb,Bad Omens,THE DEATH OF PEACE OF MIND,Nowhere To Go,63,246774,Explicit,0.417,0.958,7,-3.418,1,0.139,0.000738,0.0,0.173,0.458,174.089,4,metalcore
6862,36610,36610,68av1mZz0VsIYXJWATZWUW,Soolking;Dhurata Dora,Zemër,Zemër,63,224713,Explicit,0.782,0.864,11,-2.918,0,0.053,0.299,0.0,0.0876,0.941,156.989,4,french
6864,33113,33113,3arQDLbkZnujJVfhoyEDlM,XXXTENTACION,Bad Vibes Forever,Triumph,63,166032,Explicit,0.446,0.407,5,-3.056,1,0.031,0.718,0.0,0.0732,0.141,81.041,4,emo
6877,11254,11254,1nU2ooQKyk4CsYJMBdIK4J,YUNGBLUD,The Funeral,The Funeral,63,211197,Explicit,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538,4,british
6885,11228,11228,1Pv3rDsjRl98xEQC56p8A0,YUNGBLUD;Machine Gun Kelly,weird!,acting like that (feat. Machine Gun Kelly),63,191066,Explicit,0.522,0.9,0,-2.631,0,0.0719,6.98e-05,0.0,0.3,0.579,160.01,4,british
6893,15575,15575,6m6Xew8uyUBkVqQ0EbJNSN,Jesse Gold;Stefani Kimber,Stupid Hours,One In A Million,62,178635,Explicit,0.75,0.385,4,-9.109,1,0.123,0.331,1.88e-06,0.147,0.505,68.713,4,chill
6898,31956,31956,1oz3gEoNWHAS3pjwThdSJb,Lauv;Conan Gray,Fake,Fake,62,146375,Explicit,0.703,0.656,6,-5.363,0,0.078,0.139,0.0,0.0947,0.455,82.964,4,electro
6910,21428,21428,4lqqbSHGGR5BRtnmnky00G,Shenseea,Shen Yeng Anthem,Shen Yeng Anthem,62,141226,Explicit,0.67,0.823,1,-2.24,0,0.295,0.14,0.0,0.311,0.655,105.739,4,dancehall
6923,94084,94084,6Tt9PBM6oWGwVnxyzuM84j,sadeyes,jaded,jaded,62,160624,Explicit,0.703,0.386,6,-11.447,1,0.0672,0.0645,1.55e-06,0.257,0.192,124.117,4,sad
6927,3152,3152,2pgDBO0ZAgvye7joSmdDm8,Amaarae;Moliy,THE ANGEL YOU DON'T KNOW,SAD GIRLZ LUV MONEY,62,196420,Explicit,0.883,0.492,1,-7.979,0,0.0725,0.447,0.0019,0.128,0.296,109.974,4,alternative
6931,83114,83114,7vKfym6hgeJxxyyVpiXBBX,Martin Garrix,Animals,Animals,62,303040,Explicit,0.676,0.858,1,-6.698,1,0.0391,0.00148,0.673,0.307,0.0371,128.011,4,progressive-house
6937,48503,48503,4H3eeEecmb1lIqUfo99d8G,Makaveli,The Don Killuminati: The 7 Day Theory,To Live And Die In L.A.,62,273426,Explicit,0.579,0.818,9,-7.635,0,0.313,0.241,0.0,0.775,0.753,173.832,4,hardcore
6940,39707,39707,2rUsJXt4NeeDiIU6sBvrxo,Robin Schulz;KIDDO;Ofenbach,All We Got (feat. KIDDO) [Ofenbach Remix],All We Got (feat. KIDDO) - Ofenbach Remix,62,129814,Explicit,0.803,0.796,6,-5.077,0,0.0343,0.0522,2.69e-05,0.25,0.549,114.95,4,german
6958,48505,48505,2bXI4Rbw1D7aVeHWLjn1Lb,The Notorious B.I.G.,Ready to Die (The Remaster),Machine Gun Funk - 2006 Remaster,62,255893,Explicit,0.841,0.738,4,-5.325,0,0.3,0.102,0.0235,0.0901,0.305,93.725,4,hardcore
6972,31964,31964,6ZahaGPhyiXTi1pLEtGM6e,bülow,Sweet Little Lies,Sweet Little Lies,62,175066,Explicit,0.648,0.727,0,-3.791,1,0.142,0.229,0.0,0.17,0.689,160.024,4,electro
6973,48506,48506,6dRj771QZr0KOQVwaB6ykM,Pete Rock;InI,Center of Attention,Grown Man Sport,62,276373,Explicit,0.801,0.757,7,-8.01,1,0.316,0.478,1.32e-05,0.163,0.607,88.025,4,hardcore
6978,44717,44717,0is4yL58CcQ4Gv4WgTGr9N,Sick Puppies,Connect,Gunfight,62,175720,Explicit,0.386,0.812,0,-5.435,1,0.054,7.19e-05,0.00036,0.0809,0.508,173.102,4,grunge
6998,43430,43430,6RksBSj5fFtPkUnL2EE0oe,Five Finger Death Punch,F8,Darkness Settles In,62,281803,Explicit,0.334,0.933,4,-4.49,1,0.09,0.00732,0.0,0.264,0.18,132.812,4,groove
7000,94138,94138,3X4sErWRnQCmhhZMGv6r51,Rxseboy;Powfu;Mishaal,when we were 16,when we were 16,62,195745,Explicit,0.764,0.296,8,-14.544,0,0.269,0.923,0.00141,0.168,0.231,103.075,4,sad
7001,48703,48703,3gRlmtdCyNoKiyozn2pqc9,Mos Def,Black On Both Sides,Mathematics,62,246440,Explicit,0.753,0.749,1,-6.132,0,0.316,0.0285,0.0,0.0845,0.832,93.79,4,hardcore
7043,48710,48710,2Z5MbKovyels3EXitye0eo,The Alchemist;Earl Sweatshirt,This Thing Of Ours,Loose Change (feat. Earl Sweatshirt),62,118398,Explicit,0.506,0.628,9,-8.167,1,0.175,0.146,2.91e-05,0.135,0.363,86.131,4,hardcore
7044,33950,33950,4N7CYBbsvCggth7pXcVgOy,Wifisfuneral,Wya?,Wya?,62,124231,Explicit,0.793,0.444,11,-12.171,0,0.612,0.414,0.0,0.0733,0.222,169.935,4,emo
7056,102955,102955,55XRXhQeU25IwqVpjQqxkz,Clinton Kane,GO TO HELL,GO TO HELL,62,183786,Explicit,0.494,0.749,2,-3.309,1,0.185,0.24,0.0,0.126,0.271,180.228,4,songwriter
7074,72660,72660,3HhaSocKwTptze7PySNZlW,A Day To Remember,Bad Vibrations (Deluxe Edition),Paranoia,62,200676,Explicit,0.409,0.992,3,-2.803,0,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859,4,metalcore
7114,72066,72066,27Nkg5NHILTJUcCyBkvVHt,I Prevail,TRUE POWER,Deep End,62,206142,Explicit,0.53,0.729,4,-6.393,1,0.0338,0.00275,9.02e-06,0.471,0.261,119.981,4,metalcore
7120,94429,94429,4RPSpwcOe5NgQloQS2CDGp,Wett Brain;Tommy Ice,Suicidal,Suicidal,62,142988,Explicit,0.7,0.509,7,-10.055,0,0.11,0.233,0.0,0.0815,0.633,87.999,4,sad
7123,15752,15752,1qt1MqjmSLTWwjhn46uDUn,Sainte;Miraa May,Out the Blue,No Love,62,191365,Explicit,0.716,0.553,1,-10.229,1,0.139,0.109,0.000214,0.106,0.217,112.264,4,chill
7129,15773,15773,2424U9txykZM3ts7f5gsq3,TOB Duke,$ad Boy,Spaceship,62,151658,Explicit,0.539,0.47,1,-10.013,1,0.389,0.868,0.0,0.0594,0.805,177.087,4,chill
7130,94426,94426,4zp8noasnK5XNuNojkVhiy,Xuitcasecity;Gomey;CXM,Misunderstood,Misunderstood,62,227796,Explicit,0.794,0.504,6,-5.95,1,0.0588,0.00898,0.0,0.0997,0.362,117.931,4,sad
7133,72260,72260,4bE3cBcwAe7T5SklvbkiYZ,I Prevail,TRAUMA,Breaking Down,62,206146,Explicit,0.503,0.568,4,-7.182,0,0.0341,0.00131,0.00144,0.0856,0.0705,126.935,4,metalcore
7138,51265,51265,1J9OoW4eLxIjwo10lBB83x,MC STAN,Broke Is A Joke,Broke Is A Joke,62,215409,Explicit,0.74,0.648,10,-5.171,0,0.0374,0.659,0.0,0.11,0.4,122.03,4,hip-hop
7139,51262,51262,1XdUEm2MwB6ysy6E80ltMg,KR$NA,No Cap,No Cap,62,205423,Explicit,0.888,0.782,9,-6.195,0,0.21,0.23,0.0,0.315,0.82,118.017,4,hip-hop
7142,15737,15737,1GljONHNvhA1lVr9jmTVkd,French The Kid,Never Been Ordinary,Thrill,62,163404,Explicit,0.765,0.468,6,-11.39,0,0.245,0.616,0.000206,0.095,0.447,141.042,4,chill
7145,72274,72274,650iZCPhzCPtSmynGnUnhT,I Prevail,TRUE POWER,Body Bag,62,196979,Explicit,0.507,0.958,1,-4.688,1,0.0588,0.000123,6.06e-05,0.378,0.362,105.034,4,metalcore
7149,44502,44502,7w09r53aPON8ZUvEAnPe94,Badflower,"OK, I'M SICK",Ghost,62,259519,Explicit,0.505,0.839,11,-4.966,0,0.0569,0.0111,0.0,0.211,0.326,139.961,4,grunge
7151,94390,94390,6Xoe3jKnSFKSzsQ8kdDT7I,Sarcastic Sounds;Rxseboy,I'm A Disappointment,Disappointment (feat. Rxseboy),62,142092,Explicit,0.657,0.821,0,-5.655,1,0.232,0.686,0.0,0.0736,0.823,169.897,4,sad
7157,72129,72129,3DW6GVr7RVyfvo4NBRvZIZ,Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,"Dear Diary,",62,164797,Explicit,0.514,0.968,7,-3.737,1,0.19,0.000137,0.00026,0.128,0.262,117.878,3,metalcore
7163,38528,38528,2EtZFeLn9msgg4qJzT9Vql,The Libertines,The Libertines,Can't Stand Me Now,62,203733,Explicit,0.368,0.936,4,-3.207,1,0.0623,0.0146,0.00192,0.0923,0.568,164.427,4,garage
7170,82075,82075,50u2y4zgROMZq2db8Qx94B,glass beach,the first glass beach album,cold weather,62,138119,Explicit,0.341,0.661,10,-4.251,1,0.0335,0.00422,0.0,0.103,0.675,154.99,4,power-pop
7178,51279,51279,0OvC1QkWdBI3ORrp2lEhNO,Wazir Patar;Azaad,Keep It Gangsta,Pind Da Riwaaz,62,188181,Explicit,0.904,0.767,9,-1.909,1,0.232,0.0457,9.17e-06,0.072,0.656,87.989,4,hip-hop
7192,72208,72208,4vVUoi4U6ikqH2wIoE2fmG,Motionless In White,Reincarnate,Reincarnate,62,220040,Explicit,0.478,0.992,7,-3.165,1,0.211,0.000245,0.000206,0.327,0.117,109.969,4,metalcore
7197,15071,15071,6q4EtrwC14rUa98NhI0vKx,AtariJones;The Weeknd,Early Catch,Make It (feat. The Weeknd) [DJAmg Remixer],62,102243,Explicit,0.514,0.407,9,-15.052,1,0.153,0.0134,0.0294,0.135,0.25,82.759,4,chill
7203,21221,21221,45s98gUcOcj5nJeFDNLH2g,Burna Boy;Polo G,Want It All (feat. Polo G),Want It All (feat. Polo G),62,232500,Explicit,0.519,0.568,1,-9.551,1,0.155,0.211,1.73e-06,0.0912,0.707,159.988,4,dancehall
7207,94411,94411,3OPozjaFwjjmrgdkUMV9TD,YNG Martyr,Ease Off,Ease Off,62,144103,Explicit,0.736,0.454,8,-10.922,1,0.0579,0.0671,0.0,0.117,0.788,135.019,4,sad
7211,48212,48212,5osSw3tL07Tuid7AWsvYcc,M.O.P.;Busta Rhymes;Teflon;Remi Martin,Warriorz,"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",62,247693,Explicit,0.68,0.894,1,-4.86,1,0.255,0.0206,0.0,0.462,0.803,94.089,4,hardcore
7214,51307,51307,0e9DDb2TnNwSv8lV1EpMuD,Wazir Patar,Notorious,Notorious,62,180000,Explicit,0.829,0.615,9,-5.223,1,0.261,0.0657,0.0,0.0683,0.525,83.93,4,hip-hop
7218,72156,72156,5BkCDt5w0WOGgBgDC7T39i,Falling In Reverse,Drugs,Drugs,62,231920,Explicit,0.503,0.904,2,-3.895,0,0.048,0.000482,0.0,0.132,0.384,165.099,4,metalcore
7229,51326,51326,0uk9sQ7MjK0CdAUinD4xBV,MC STAN,Tadipaar,Ek Din Pyaar,62,186600,Explicit,0.717,0.699,5,-5.665,0,0.251,0.223,0.0,0.139,0.689,100.147,4,hip-hop
7240,72376,72376,0vPkRB52RENZMpHybpFKYK,Motionless In White,Disguise,Brand New Numb,62,222461,Explicit,0.566,0.886,0,-3.63,1,0.0902,0.000348,0.0,0.494,0.619,130.066,4,metalcore
7243,18009,18009,5TlAXiBCBwiQnIZUAA4Jkg,Lil Dicky;Snoop Dogg,Professional Rapper,Professional Rapper (feat. Snoop Dogg),62,353959,Explicit,0.684,0.621,11,-8.442,0,0.362,0.432,0.0,0.607,0.537,128.882,3,comedy
7248,2913,2913,3JyvSSU0VnlMUsQckyEVfX,grandson,a modern tragedy vol. 2,Darkside,62,229531,Explicit,0.497,0.701,7,-6.834,1,0.119,0.000568,0.000287,0.352,0.18,76.918,4,alt-rock
7259,48402,48402,0xdYzkbBBfTevSyOJqWUSX,The Notorious B.I.G.;112,Life After Death (2014 Remastered Edition),Sky's the Limit (feat. 112) - 2014 Remaster,62,329426,Explicit,0.637,0.66,0,-4.792,1,0.162,0.217,0.0,0.09,0.503,90.876,4,hardcore
7265,99629,99629,3gdiyrJ3d1FGnYnCrVKwph,Jillian Rossi,Hurt Again,Hurt Again,62,126562,Explicit,0.638,0.564,9,-5.876,1,0.0374,0.123,2.97e-06,0.0811,0.109,96.08,4,singer-songwriter
7272,21351,21351,2zYs4BonN2ydkbrRk333SN,Wizkid;Drake,Sounds From The Other Side,Come Closer (feat. Drake),62,211293,Explicit,0.825,0.453,4,-7.429,0,0.227,0.127,3.82e-06,0.0838,0.496,99.974,4,dancehall
7273,21354,21354,4204hwPYuToiuSunPFUoML,Wizkid;Tay Iwar;Projexx,Made In Lagos,True Love (feat. Tay Iwar & Projexx),62,247333,Explicit,0.85,0.542,4,-3.602,0,0.167,0.229,4.9e-05,0.079,0.622,119.747,5,dancehall
7289,72070,72070,2qjH6wZfR0g11ZiT7KqyRO,Our Last Night,Astronaut In The Ocean,Astronaut In The Ocean,62,134200,Explicit,0.519,0.956,11,-2.982,1,0.0788,0.00113,0.00912,0.106,0.655,149.942,4,metalcore
7312,72425,72425,44M12pkcMqqdbNNooHCZ6C,I Prevail,Lifelines,Come And Get It,62,181426,Explicit,0.567,0.987,4,-4.069,1,0.0765,0.000133,2.38e-05,0.371,0.383,107.974,4,metalcore
7315,99683,99683,1b5qdsOkBg9R0S12ng3Ees,Zoe Clark,Zero Feelings,Zero Feelings,62,154759,Explicit,0.743,0.495,0,-6.462,1,0.048,0.0309,0.0,0.252,0.396,102.117,4,singer-songwriter
7327,57661,57661,7MhNCT34oaLIxwAsZlZd67,Halsey;Juice WRLD,Manic,Without Me,62,228951,Explicit,0.744,0.514,6,-6.103,1,0.0746,0.355,0.0,0.183,0.449,136.013,4,indie
7336,44568,44568,1DCdIWCE5UFiObCsTSpKFv,Alice In Chains,Alice In Chains,Heaven Beside You,62,327893,Explicit,0.551,0.724,10,-7.09,0,0.032,0.00451,0.000167,0.116,0.559,111.243,4,grunge
7350,94530,94530,6uF3fb3UxjoVl7Ic781L9N,Letoa,GLOCSTARR V1,ICE COLD,62,156606,Explicit,0.682,0.587,8,-12.296,1,0.222,0.127,0.78,0.119,0.292,153.022,4,sad
7355,43379,43379,1LHZMWefF9502NPfArRfvP,Five Finger Death Punch,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Lift Me Up (feat. Rob Halford of Judas Priest),62,246209,Explicit,0.508,0.988,1,-3.613,0,0.165,8.45e-05,0.0,0.209,0.174,75.018,4,groove
7357,33414,33414,78MLMKaMyZvRUKUyVhyRi0,6ix9ine;DJ SpinKing,DUMMY BOY,TATI,62,154565,Explicit,0.779,0.767,11,-5.462,0,0.258,0.00214,0.0,0.102,0.523,91.981,4,emo
7359,15407,15407,2bdVgAQgosGUJoViVDNeOV,keshi,GABRIEL,LIMBO,62,212784,Explicit,0.577,0.366,8,-11.792,1,0.0368,0.879,7.76e-05,0.137,0.0841,129.923,4,chill
7361,15406,15406,4LaZ8RpIP6DIgN73bXQVlO,keshi,GABRIEL,GET IT,62,151301,Explicit,0.619,0.71,4,-7.661,0,0.0686,0.224,0.000395,0.218,0.313,170.119,4,chill
7367,15264,15264,2KEnu7ABoDpekTUae5rrU0,keshi,just friends,just friends,62,123125,Explicit,0.713,0.244,6,-15.639,0,0.101,0.767,0.00435,0.101,0.199,119.993,4,chill
7369,30910,30910,5d8a5B6RlYnquvR4X4OIrX,The Chainsmokers,So Far So Good,Time Bomb,62,203061,Explicit,0.842,0.681,1,-5.73,0,0.0361,0.232,2.32e-05,0.125,0.872,109.97,4,edm
7375,33111,33111,1B3TX5FbmcVROMv2riOwyE,XXXTENTACION,Revenge,Looking for a Star,62,137173,Explicit,0.915,0.692,9,-7.544,1,0.0857,0.15,0.00012,0.0964,0.713,118.981,4,emo
7377,103403,103403,0GPMU2U6hsNdbFEanwINat,N i G H T S,Gemini / Heavy,Gemini,62,118615,Explicit,0.793,0.518,6,-7.921,0,0.0547,0.227,0.000288,0.237,0.594,93.201,4,soul
7386,33453,33453,1FY8LJWKivOdoxZX5TSLpm,Lil Peep;Horsehead,right here,right here,62,176906,Explicit,0.604,0.715,8,-7.118,0,0.0312,0.000425,7.78e-06,0.116,0.212,110.026,4,emo
7388,33162,33162,5xbrhx2tMMcN68IT3cJbhS,XXXTENTACION,17,Ayala (Outro),62,99706,Explicit,0.57,0.285,9,-14.125,0,0.0381,0.737,0.0133,0.108,0.0973,83.485,4,emo
7392,33428,33428,6ZyjQTlZxDtdjYKDwcAWNk,6ix9ine;A Boogie Wit da Hoodie,DUMMY BOY,WAKA,62,128769,Explicit,0.772,0.809,0,-3.994,0,0.154,0.0863,0.0,0.115,0.654,97.407,4,emo
7402,58129,58129,09RhTAi0nuzCs5KS2XWSs5,Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,Faggot,62,163706,Explicit,0.63,0.76,1,-10.347,1,0.115,0.000916,0.000856,0.0766,0.561,152.042,4,industrial
7404,58127,58127,07YoPdPfhQ62iNztZvOlDY,Marilyn Manson,Holy Wood,Disposable Teens,62,181506,Explicit,0.3,0.956,10,-5.016,1,0.185,5.32e-05,0.0161,0.532,0.271,134.083,4,industrial
7411,53877,53877,572xshmOviSGH70oPYMCZV,Anne-Marie,Speak Your Mind (Deluxe),Alarm,62,205593,Explicit,0.756,0.589,0,-5.093,1,0.232,0.0812,0.0,0.176,0.811,146.928,4,house
7441,53902,53902,3mRlFZHUyvJbPTlkzg4LyJ,SAINt JHN,Collection One,Roses,62,173610,Explicit,0.782,0.5,5,-6.473,0,0.0611,0.342,1.88e-05,0.133,0.28,102.008,4,house
7456,44266,44266,7gQ7DfSSc3b8e4cHtFnDxu,Breaking Benjamin,Ember,Blood,62,189120,Explicit,0.478,0.971,7,-2.729,1,0.0858,3.83e-05,2.77e-05,0.295,0.284,90.526,4,grunge
7460,30936,30936,3qd1eI1GA0FwC3VHcxHhDC,Imanbek;KDDK;KIDDO;Wiz Khalifa,Ordinary Life (KDDK Phonk Remix),Ordinary Life - KDDK Phonk Remix,62,165333,Explicit,0.687,0.915,0,-1.342,1,0.0411,0.021,6.42e-06,0.151,0.272,89.962,4,edm
7465,5129,5129,0kNkyCg59tcaSGyoC2ByTX,Khantrast,Bunny Thot,Bunny Thot,62,91199,Explicit,0.71,0.848,9,-5.01,0,0.194,0.322,0.0,0.159,0.572,134.894,4,anime
7466,47770,47770,38fIaph07Kd8ZIN6l17ZJs,Metallica,Kill 'Em All (Remastered),Whiplash - Remastered,62,248546,Explicit,0.384,0.916,4,-6.468,0,0.0983,0.000611,0.422,0.14,0.192,158.042,4,hard-rock
7487,103503,103503,4DcsVmrZKyKWhNOKbMMMQH,Shaker,Next,Next,62,177548,Explicit,0.515,0.472,8,-10.644,0,0.052,0.876,0.00325,0.101,0.454,195.56,4,soul
7492,94192,94192,4kHhC8x1CakRsiRJhsEDIU,SadBoyProlific,Not Enough,Not Enough,62,108120,Explicit,0.844,0.402,11,-8.643,0,0.109,0.92,0.0,0.102,0.471,91.044,4,sad
7496,32364,32364,3ISiZ0GzocM9ssIwqRn1AW,Big Gigantic;Logic;ROZES,Brighter Future,"All of Me (feat. Logic, ROZES)",62,228169,Explicit,0.627,0.878,10,-3.014,0,0.0409,0.00188,0.0,0.228,0.208,142.043,4,electronic
7508,11513,11513,4zFHwVj4A8s0G5f7aOlpKo,Adele,19,Hometown Glory,62,271226,Explicit,0.436,0.336,10,-8.517,0,0.037,0.962,3.4e-05,0.102,0.21,122.456,4,british
7510,33369,33369,1biGLgU3ws2Z9S4iCMLoDx,surrenderdorothy,SittingInTheCar,SittingInTheCar,62,86227,Explicit,0.675,0.362,2,-13.254,1,0.0299,0.000506,0.43,0.134,0.383,116.98,4,emo
7527,33723,33723,5e90dsXJMBw9ndBRiKP1ZA,Lil Peep,"Come Over When You're Sober, Pt. 1",Problems,62,209213,Explicit,0.64,0.558,1,-7.078,1,0.027,0.000144,0.865,0.103,0.208,115.007,4,emo
7540,5038,5038,5H9VMgnzuU62NYzWdJlqae,Louis Capone,Bars No Jutsu,Bars No Jutsu,62,148642,Explicit,0.694,0.766,1,-7.179,1,0.14,0.217,1.01e-06,0.134,0.636,133.924,4,anime
7545,58184,58184,50AB24h51HlBrp6PqOg50k,Rammstein,Liebe ist für alle da (Special Edition),Pussy,62,239080,Explicit,0.573,0.773,7,-4.629,1,0.0442,0.00158,0.0957,0.0734,0.541,134.977,4,industrial
7546,47857,47857,5JAnXx5BBES4FEf4d4t4CC,Metallica,St. Anger,St. Anger,62,441132,Explicit,0.396,0.947,2,-2.652,0,0.0477,0.00115,0.0179,0.089,0.443,93.043,4,hard-rock
7547,33668,33668,3aWX8DMLmQCOGx6cHMPr6V,Lil Peep,Vertigo,drugz,62,139706,Explicit,0.582,0.414,0,-11.211,1,0.041,0.0491,0.000843,0.393,0.0515,98.017,4,emo
7549,60213,60213,1poBO3pO6fkqPYG6n8J5cX,Montell Jordan;Wino,This Is How We Do It,This Is How We Do It,62,277293,Explicit,0.775,0.606,0,-9.86,1,0.12,0.042,0.0,0.523,0.788,103.648,4,j-dance
7556,48850,48850,53oWwSxPuyH2cjYKXH8fgO,Junior M.A.F.I.A.,Conspiracy (PA),Get Money,62,274937,Explicit,0.736,0.828,11,-5.835,0,0.284,0.477,0.0,0.251,0.899,91.224,4,hardcore
7561,98089,98089,6zQPRiKYLdpAIn5HDtzDYc,Jamie Muscato;Original West End Cast of Heathers,Heathers the Musical (Original West End Cast Recording),Meant to be Yours,62,210440,Explicit,0.552,0.632,6,-6.364,0,0.0962,0.398,0.0,0.227,0.464,97.998,3,show-tunes
7600,33804,33804,1XDOGk0XzrBIZboUMvfRNr,Lil Peep;Horse Head,HELLBOY,girls,62,240440,Explicit,0.645,0.698,0,-6.063,0,0.0543,0.557,0.0,0.111,0.259,120.048,4,emo
7602,38106,38106,36Owb6DDJbBFXi86x3X61z,Pity Party (Girls Club),Healing Process,Yellow,62,134442,Explicit,0.622,0.782,5,-9.142,1,0.0599,0.848,0.477,0.396,0.655,125.068,4,garage
7612,72944,72944,1YO1vzBy6y44sosMHviv0S,Electric Callboy;Conquer Divide,TEKKNO,Fuckboi (feat. Conquer Divide),62,164000,Explicit,0.536,0.759,8,-9.521,1,0.0441,0.000844,1.09e-06,0.0729,0.743,159.99,4,metalcore
7634,33604,33604,5ZJUvZxyzvJmi3sWQaWTHL,Yunggoth✰,Idk How to Kill Myself,Idk How to Kill Myself,62,136620,Explicit,0.434,0.656,10,-6.063,1,0.0375,0.614,0.00127,0.107,0.185,115.877,4,emo
7645,33623,33623,5hQZDntIU1PbXhmH94kZoM,POORSTACY,The Breakfast Club (Deluxe Edition),Don't Look At Me,62,188237,Explicit,0.539,0.832,1,-6.53,0,0.256,0.0101,0.00437,0.638,0.287,76.503,4,emo
7646,98165,98165,3TfKt8mPpdXfQTMfRjHzyz,Christopher Jackson;Daveed Diggs;Lin-Manuel Miranda;Okieriete Onaodowan,Hamilton (Original Broadway Cast Recording),Cabinet Battle #1,62,215226,Explicit,0.607,0.658,11,-7.762,0,0.423,0.0859,0.0,0.489,0.513,87.043,4,show-tunes
7648,48903,48903,0W2mz7mvaBaEsC4rmoRNPn,Onyx,Bacdafucup,Slam,62,218333,Explicit,0.876,0.71,11,-12.908,1,0.347,0.0654,0.00312,0.918,0.724,98.305,4,hardcore
7650,56802,56802,1Tfxi7N3DW4zvAuVjt9g8X,G-Eazy;Jack Harlow,Moana,Moana,62,178216,Explicit,0.753,0.502,1,-6.879,1,0.264,0.0439,1.54e-06,0.128,0.349,205.895,4,indie-pop
7655,33583,33583,3Mf5CJ4c9wzdCI5Dib3V3B,Lil Peep,crybaby,driveway,62,159080,Explicit,0.392,0.499,11,-6.997,1,0.0425,0.0166,0.0,0.234,0.232,135.551,4,emo
7675,3462,3462,4tyD9sivpD8NGM8KEEabAl,GAYLE,a study of the human experience volume two,snow angels,61,210239,Explicit,0.753,0.552,8,-3.803,1,0.0395,0.0124,0.0,0.092,0.901,117.955,4,alternative
7686,15227,15227,7bevK9DJVy1a16426t2WQ1,William Singe,Love You Like Me,Love You Like Me,61,218614,Explicit,0.756,0.514,5,-7.364,0,0.0759,0.47,0.0,0.124,0.332,112.004,4,chill
7711,47703,47703,2wJJNgD6GrKoQ435VxTRv6,coldrain;Ryo,THE SIDE EFFECTS,MAYDAY (feat. Ryo from Crystal Lake),61,227011,Explicit,0.522,0.97,10,-4.576,0,0.209,5.53e-05,0.0,0.246,0.488,121.054,4,hard-rock
7720,94095,94095,0rIrIUpcd1FFRSEwQGk1Cs,Dustystaytrue,True To Me,Never Change,61,154773,Explicit,0.817,0.534,10,-11.808,1,0.16,0.0341,0.0,0.069,0.47,116.013,5,sad
7727,58173,58173,1KQxH1Z1BiSo3MMukVpRfl,Marilyn Manson,Mechanical Animals,The Dope Show,61,226733,Explicit,0.562,0.671,4,-7.801,0,0.0379,8.73e-06,0.000491,0.792,0.376,134.962,4,industrial
7733,94067,94067,25yup6WYnPoITrfzhkBLmt,Powfu;Sarcastic Sounds,"Some Boring, Love Stories",I Can't Sleep,61,152500,Explicit,0.805,0.479,6,-9.238,0,0.363,0.182,3.41e-06,0.346,0.363,80.454,4,sad
7742,94196,94196,6CLLUjyPoBttw36tzpGhJJ,Josh A,Fearless,Fearless,61,140156,Explicit,0.774,0.668,1,-6.79,1,0.316,0.137,0.0,0.424,0.507,140.099,4,sad
7754,44387,44387,2Xe2YAxNPqWCNpZ8RagBdO,Three Days Grace,One-X,Gone Forever,61,221093,Explicit,0.409,0.761,2,-4.514,1,0.031,0.0175,0.0,0.114,0.271,155.901,4,grunge
7756,15256,15256,5DyBTivjORrpNhJkJj2Ao5,thuy;Lil Kev,All Night Long,All Night Long,61,214800,Explicit,0.354,0.542,4,-9.61,0,0.12,0.0815,0.000424,0.09,0.0483,100.032,4,chill
7759,94115,94115,1uM8TxVMxmiwP8b6pZxUeQ,Eric Reprid,Cold World,Cold World,61,179993,Explicit,0.815,0.711,0,-4.278,1,0.108,0.496,0.0,0.109,0.336,130.102,4,sad
7760,21669,21669,3SCVtAJq8li6HlKfM4M08u,Sean Paul,Dutty Rock,Gimme the Light,61,228000,Explicit,0.778,0.761,2,-5.529,1,0.0525,0.141,4.61e-05,0.0441,0.923,107.288,4,dancehall
7762,21409,21409,5o5yQsdZblzaqzgBFDVJTv,J Capri;Charly Black,Whine & Kotch,Whine & Kotch,61,217200,Explicit,0.699,0.675,9,-5.383,1,0.387,0.0654,0.0,0.143,0.442,105.151,4,dancehall
7793,103300,103300,5QeUZ1Z4xSCegBXutW3IIt,A.CHAL,EXOTIGAZ,000000,61,165214,Explicit,0.734,0.472,1,-8.192,0,0.306,0.494,0.00293,0.102,0.387,190.011,4,soul
7797,53950,53950,1MyWtH2yavuP1AHUi1X7ur,Cheat Codes;Kris Kross Amsterdam,Sex,Sex,61,228360,Explicit,0.604,0.691,0,-5.807,1,0.159,0.00493,0.0,0.125,0.186,105.014,4,house
